127.0.0.1 - - [06/Mar/2018:07:22:30 -0500] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [06/Mar/2018:07:22:30 -0500] "GET /invoice-crud-operation/ HTTP/1.1" 200 1649
0:0:0:0:0:0:0:1 - - [06/Mar/2018:07:24:44 -0500] "POST /invoice-crud-operation/show.do HTTP/1.1" 500 6586
0:0:0:0:0:0:0:1 - - [06/Mar/2018:07:28:07 -0500] "GET /netflix-operation/welComePageNetflix.jsp HTTP/1.1" 200 8390
0:0:0:0:0:0:0:1 - - [06/Mar/2018:07:38:23 -0500] "GET /netflix-operation/welComePageNetflix.jsp HTTP/1.1" 200 7611
0:0:0:0:0:0:0:1 - - [06/Mar/2018:07:38:23 -0500] "GET /netflix-operation/1.jpg HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [06/Mar/2018:07:38:23 -0500] "GET /netflix-operation/2.jpg HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [06/Mar/2018:07:38:23 -0500] "GET /netflix-operation/3.jpg HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [06/Mar/2018:07:38:23 -0500] "GET /netflix-operation/4.jpg HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [06/Mar/2018:07:38:23 -0500] "GET /netflix-operation/5.jpg HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [06/Mar/2018:07:38:23 -0500] "GET /netflix-operation/6.jpg HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [06/Mar/2018:07:38:23 -0500] "GET /netflix-operation/7.jpg HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [06/Mar/2018:07:38:23 -0500] "GET /netflix-operation/8.jpg HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [06/Mar/2018:07:38:23 -0500] "GET /netflix-operation/10.jpg HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [06/Mar/2018:07:38:23 -0500] "GET /netflix-operation/9.jpg HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [06/Mar/2018:07:38:58 -0500] "GET /netflix-operation/welComePageNetflix.jsp HTTP/1.1" 200 7617
0:0:0:0:0:0:0:1 - - [06/Mar/2018:07:38:58 -0500] "GET /netflix-operation/1.jpg HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [06/Mar/2018:07:38:58 -0500] "GET /netflix-operation/2.jpg HTTP/1.1" 404 1101
